no,nama,komentar,rating,link
1,"Jas Hujan Sunflower Sun flower Original S, M, L, XL, 2XL, 3XL, 4XL - Warna Lain, S (Kids)","Barang sesuai, pengiriman cepet",5,https://www.tokopedia.com/zackybylla/jas-hujan-sunflower-sun-flower-original-s-m-l-xl-2xl-3xl-4xl-warna-lain-s-kids?extParam=ivf%3Dfalse&src=topads
2,"Jas Hujan Sunflower Sun flower Original S, M, L, XL, 2XL, 3XL, 4XL - Warna Lain, S (Kids)",Bagus sesuai orderan,5,https://www.tokopedia.com/zackybylla/jas-hujan-sunflower-sun-flower-original-s-m-l-xl-2xl-3xl-4xl-warna-lain-s-kids?extParam=ivf%3Dfalse&src=topads
3,"Jas Hujan Sunflower Sun flower Original S, M, L, XL, 2XL, 3XL, 4XL - Warna Lain, S (Kids)",Bagus bahan nya. Warna nya di foto malah ga terang jd kaya putih  tapi bagian mata kaki ada kotor kena tanah kaya bekas dipakai/dicoba org.,4,https://www.tokopedia.com/zackybylla/jas-hujan-sunflower-sun-flower-original-s-m-l-xl-2xl-3xl-4xl-warna-lain-s-kids?extParam=ivf%3Dfalse&src=topads
4,"Jas Hujan Sunflower Sun flower Original S, M, L, XL, 2XL, 3XL, 4XL - Warna Lain, S (Kids)","bahan bagus, tipis tapi comfort, efek daun talas jadi jas hujan cepet kering, tutup kepala nyaman ada karetnya, sayang masih sedikit rembes di depan saat hujan deras.",4,https://www.tokopedia.com/zackybylla/jas-hujan-sunflower-sun-flower-original-s-m-l-xl-2xl-3xl-4xl-warna-lain-s-kids?extParam=ivf%3Dfalse&src=topads
5,"Jas Hujan Sunflower Sun flower Original S, M, L, XL, 2XL, 3XL, 4XL - Warna Lain, S (Kids)","Barang Ok mantap, pengiriman sangat sangat lambat",3,https://www.tokopedia.com/zackybylla/jas-hujan-sunflower-sun-flower-original-s-m-l-xl-2xl-3xl-4xl-warna-lain-s-kids?extParam=ivf%3Dfalse&src=topads
6,"Jas Hujan Sunflower Sun flower Original S, M, L, XL, 2XL, 3XL, 4XL - Warna Lain, S (Kids)",tembus dibagian depan Resleting,2,https://www.tokopedia.com/zackybylla/jas-hujan-sunflower-sun-flower-original-s-m-l-xl-2xl-3xl-4xl-warna-lain-s-kids?extParam=ivf%3Dfalse&src=topads
7,"Jas Hujan Sunflower Sun flower Original S, M, L, XL, 2XL, 3XL, 4XL - Warna Lain, S (Kids)",bahan tidak sesuai kasar.. tidak lembut.,1,https://www.tokopedia.com/zackybylla/jas-hujan-sunflower-sun-flower-original-s-m-l-xl-2xl-3xl-4xl-warna-lain-s-kids?extParam=ivf%3Dfalse&src=topads
8,"JAS HUJAN, RAINCOAT Terbaik Pria Wanita BY HCS Anti Rembes","barang sampai dengan aman,barang bagussss,terimakasih kurirnya yg baikkkkkk dan Ama sopi terimakasih banyak. ,barang sampai dengan tepat waktu ,sip lah pokoknya ",5,https://shopee.co.id/JAS-HUJAN-RAINCOAT-Terbaik-Pria-Wanita-BY-HCS-Anti-Rembes-i.263624211.5289108089?sp_atk=bd3e200b-997b-48ac-8116-210b20045784&xptdk=bd3e200b-997b-48ac-8116-210b20045784
9,"JAS HUJAN, RAINCOAT Terbaik Pria Wanita BY HCS Anti Rembes",bahan tebal.. sukaa bngett gak kecewa.. harga murah kualitas bagus.. cepet smpainya.. respon penjual cepat dan ramah.. makasih,5,https://shopee.co.id/JAS-HUJAN-RAINCOAT-Terbaik-Pria-Wanita-BY-HCS-Anti-Rembes-i.263624211.5289108089?sp_atk=bd3e200b-997b-48ac-8116-210b20045784&xptdk=bd3e200b-997b-48ac-8116-210b20045785
10,"JAS HUJAN, RAINCOAT Terbaik Pria Wanita BY HCS Anti Rembes","Pengiriman cepat, barang sesuai dan semua dalam kondisi lengkap tanpa cacat sudah di cek. ",5,https://shopee.co.id/JAS-HUJAN-RAINCOAT-Terbaik-Pria-Wanita-BY-HCS-Anti-Rembes-i.263624211.5289108089?sp_atk=bd3e200b-997b-48ac-8116-210b20045784&xptdk=bd3e200b-997b-48ac-8116-210b20045786
11,"JAS HUJAN, RAINCOAT Terbaik Pria Wanita BY HCS Anti Rembes",Cukup memuaskan semoga bisa tahan lama ya,5,https://shopee.co.id/JAS-HUJAN-RAINCOAT-Terbaik-Pria-Wanita-BY-HCS-Anti-Rembes-i.263624211.5289108089?sp_atk=bd3e200b-997b-48ac-8116-210b20045784&xptdk=bd3e200b-997b-48ac-8116-210b20045787
12,"JAS HUJAN, RAINCOAT Terbaik Pria Wanita BY HCS Anti Rembes",Warna hijau Armi bagus Ukurannya sesuai,4,https://shopee.co.id/JAS-HUJAN-RAINCOAT-Terbaik-Pria-Wanita-BY-HCS-Anti-Rembes-i.263624211.5289108089?sp_atk=bd3e200b-997b-48ac-8116-210b20045784&xptdk=bd3e200b-997b-48ac-8116-210b20045788
13,"JAS HUJAN, RAINCOAT Terbaik Pria Wanita BY HCS Anti Rembes",paket sudah sampe.. barangnya baguss.. btw ini baru pertama kali beli disini.. mudah mudahan sesuai. dan tidak rembes yaaa.. semoga sukses dan selalu amanah yaa.. terima kasih kak..,4,https://shopee.co.id/JAS-HUJAN-RAINCOAT-Terbaik-Pria-Wanita-BY-HCS-Anti-Rembes-i.263624211.5289108089?sp_atk=bd3e200b-997b-48ac-8116-210b20045784&xptdk=bd3e200b-997b-48ac-8116-210b20045789
14,"JAS HUJAN, RAINCOAT Terbaik Pria Wanita BY HCS Anti Rembes","Barang sampai, warna agak navy, padahal pesan hitam, tidak masalah",3,https://shopee.co.id/JAS-HUJAN-RAINCOAT-Terbaik-Pria-Wanita-BY-HCS-Anti-Rembes-i.263624211.5289108089?sp_atk=bd3e200b-997b-48ac-8116-210b20045784&xptdk=bd3e200b-997b-48ac-8116-210b20045790
15,"JAS HUJAN, RAINCOAT Terbaik Pria Wanita BY HCS Anti Rembes","sedikit kecewa karna ada yg bolong,",3,https://shopee.co.id/JAS-HUJAN-RAINCOAT-Terbaik-Pria-Wanita-BY-HCS-Anti-Rembes-i.263624211.5289108089?sp_atk=bd3e200b-997b-48ac-8116-210b20045784&xptdk=bd3e200b-997b-48ac-8116-210b20045791
16,"JAS HUJAN, RAINCOAT Terbaik Pria Wanita BY HCS Anti Rembes","celana kurang besar untuk ukuran xxl nya,,tidak muat,,",3,https://shopee.co.id/JAS-HUJAN-RAINCOAT-Terbaik-Pria-Wanita-BY-HCS-Anti-Rembes-i.263624211.5289108089?sp_atk=bd3e200b-997b-48ac-8116-210b20045784&xptdk=bd3e200b-997b-48ac-8116-210b20045792
17,"JAS HUJAN, RAINCOAT Terbaik Pria Wanita BY HCS Anti Rembes","Tebal bahannya, TAPI pengemasan kurang TELITI. Ada yang sobek di bagian dekat kancing. Tolong teliti lagi saat pengemasan nya! Terimakasih",3,https://shopee.co.id/JAS-HUJAN-RAINCOAT-Terbaik-Pria-Wanita-BY-HCS-Anti-Rembes-i.263624211.5289108089?sp_atk=bd3e200b-997b-48ac-8116-210b20045784&xptdk=bd3e200b-997b-48ac-8116-210b20045793
18,"JAS HUJAN, RAINCOAT Terbaik Pria Wanita BY HCS Anti Rembes",Blom dipake baru buka kancingnya sudah copot kancingnya produknya ya mungkindi tulis kriteria sm dgn axio tapi kenyataan harga si ga murah murah banget tp kualitas nihil sletingnya juga keras,2,https://shopee.co.id/JAS-HUJAN-RAINCOAT-Terbaik-Pria-Wanita-BY-HCS-Anti-Rembes-i.263624211.5289108089?sp_atk=bd3e200b-997b-48ac-8116-210b20045784&xptdk=bd3e200b-997b-48ac-8116-210b20045794
19,"JAS HUJAN, RAINCOAT Terbaik Pria Wanita BY HCS Anti Rembes",Kualitas sangat buruk.. bagian celana cuma di jahit tidak di cleam jadi air masih rembes ke dlam.. baru sekali pake juga langsung sobek. Tidak sesuai dgn harga kualitas barang yg di jual,1,https://shopee.co.id/JAS-HUJAN-RAINCOAT-Terbaik-Pria-Wanita-BY-HCS-Anti-Rembes-i.263624211.5289108089?sp_atk=bd3e200b-997b-48ac-8116-210b20045784&xptdk=bd3e200b-997b-48ac-8116-210b20045795
20,"JAS HUJAN, RAINCOAT Terbaik Pria Wanita BY HCS Anti Rembes","barang sudah diterima baru dibuka dan ternyata Resletingnya mudah rusak dan sangat kecewa sih, terpaksa harus beli resleting lagi. untuk selebihnya bahan bagus tebal mudah² tahan lama. Ok terimakasih",1,https://shopee.co.id/JAS-HUJAN-RAINCOAT-Terbaik-Pria-Wanita-BY-HCS-Anti-Rembes-i.263624211.5289108089?sp_atk=bd3e200b-997b-48ac-8116-210b20045784&xptdk=bd3e200b-997b-48ac-8116-210b20045796
21,Jas Hujan Pria Bahan Taslan Balon Tahan Air Jas Ujan Wanita Tebal Anti Rembes Cocok Segala Cuaca Original PEAKGLORY,Bahan adem bagus nyaman Pokoknya keren bgt sih ini jas hujan .. Next time beli lagi buat anak dan suami Beli dah Wei jng ragu dan bimbang .. bintang 10 kalo ada mah gw kasih rating,5,https://shopee.co.id/Jas-Hujan-Pria-Bahan-Taslan-Balon-Tahan-Air-Jas-Ujan-Wanita-Tebal-Anti-Rembes-Cocok-Segala-Cuaca-Original-PEAKGLORY-i.416626002.13095136467?sp_atk=a78d3140-f27c-4086-a86d-2efcbe557127&xptdk=a78d3140-f27c-4086-a86d-2efcbe557127
22,Jas Hujan Pria Bahan Taslan Balon Tahan Air Jas Ujan Wanita Tebal Anti Rembes Cocok Segala Cuaca Original PEAKGLORY,"Kekurangan hanya warna pink sudah habis kebetulan sy suka pink, mana tau dapet pink gratis setelah review ini hehe",5,https://shopee.co.id/Jas-Hujan-Pria-Bahan-Taslan-Balon-Tahan-Air-Jas-Ujan-Wanita-Tebal-Anti-Rembes-Cocok-Segala-Cuaca-Original-PEAKGLORY-i.416626002.13095136467?sp_atk=a78d3140-f27c-4086-a86d-2efcbe557127&xptdk=a78d3140-f27c-4086-a86d-2efcbe557128
23,Jas Hujan Pria Bahan Taslan Balon Tahan Air Jas Ujan Wanita Tebal Anti Rembes Cocok Segala Cuaca Original PEAKGLORY,"Jas hujannya bahannya bagus, modelnya jg bagus, warna bagus cm kalau untuk sering dipakai lebih baik memilih warna yang agak gelap ya supaya tidak cepat kotor, pengiriman cepat. Dapet stiker peakglory.",5,https://shopee.co.id/Jas-Hujan-Pria-Bahan-Taslan-Balon-Tahan-Air-Jas-Ujan-Wanita-Tebal-Anti-Rembes-Cocok-Segala-Cuaca-Original-PEAKGLORY-i.416626002.13095136467?sp_atk=a78d3140-f27c-4086-a86d-2efcbe557127&xptdk=a78d3140-f27c-4086-a86d-2efcbe557129
24,Jas Hujan Pria Bahan Taslan Balon Tahan Air Jas Ujan Wanita Tebal Anti Rembes Cocok Segala Cuaca Original PEAKGLORY,"kaget bgt ini jas hujannya ringan, bagus deh eye cathing warnanya udah sempet d pake waktu ujan2 dan gak tembus, diangin2 juga cepet kering jas ujannya karna airnya kyak gak nempel gitu d jas ujannya.. beda kalo pake jas ujan yg bahan luarnya kyak karet yg plastik2 itu looohh",5,https://shopee.co.id/Jas-Hujan-Pria-Bahan-Taslan-Balon-Tahan-Air-Jas-Ujan-Wanita-Tebal-Anti-Rembes-Cocok-Segala-Cuaca-Original-PEAKGLORY-i.416626002.13095136467?sp_atk=a78d3140-f27c-4086-a86d-2efcbe557127&xptdk=a78d3140-f27c-4086-a86d-2efcbe557130
